	MEME_6_1246_motif_2.probs.tsv	MEME_6_1246_motif_1.probs.tsv
MEME_6_1246_motif_2.probs.tsv	(1.0, 0, 34, 34, 34)	(0.41547774112255004, -21, 13, 34, 25)
MEME_6_1246_motif_1.probs.tsv	(0.41547774112255004, 21, 13, 25, 34)	(1.0, 0, 25, 25, 25)
